calendar_year;project_has_data;pedro_table4_has_data;coverage_status;geographic_scope;recommended_series;ordering_concept;reported_incomes;tax_return_year;number_of_brackets;currency;aggregate_unit;bracket_limit_unit;primary_source;source_block;primary_source_url;primary_link_type;pdf_download_url;alternative_url;local_file;pdf_page;printed_page;table_or_panel;primary_sqlite_table;related_sqlite_tables;pedro_table4_source;pedro_table4_status;methodological_note;next_action
1960;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1961;16;Cr$;Cr$ 1.000;Cr$ 1.000;Brasil. Ministerio da Fazenda. Divisao de Imposto de Renda. Relatorio do ano de 1961, apresentado ao Excelentissimo Senhor Ministro da Fazenda Nacional pelo Diretor da Divisao do Imposto de Renda. Rio de Janeiro: Ministerio da Fazenda, 1967.;dir_1961;https://archive.org/download/depeguanaminfaz0000_1_0000relatrenda196167/depeguanaminfaz0000_1_0000relatrenda196167.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/relatorio_irpf_ano_1961_publicado_1967.pdf;50;46;Quadro XII;irpf_historico_totais_consolidado;"irpf_aeb_brasil_1946_1960_faixas; irpf_aeb_brasil_1946_1960_totais; irpf_dir_1961_faixas; irpf_dir_1961_totais";AEB 1962;"consta na Tabela 4; Brasil";"Ano-calendario inferido como 1960 pela regra usual de exercicio do IR. Os totais de contribuintes, renda bruta, renda liquida, imposto complementar, imposto cedular, imposto total e abatimentos totais fecham com a linha TOTAL. Nas subcolunas de abatimentos, a soma das faixas fica abaixo dos totais publicados em 60 para esposas, 180 para dependentes e 8.910 para demais abatimentos (valores em Cr$ 1.000). Nas linhas F06 e F08, a soma dos subtipos tambem fica abaixo do total de abatimentos da propria faixa. O texto narrativo da pagina 16 inclui ainda o Adicional de Protecao a Familia, nao detalhado por faixa no Quadro XII; por isso o imposto narrativo total e maior que o imposto notificado total do quadro.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1961;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1962;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1963;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1964;15;Cr$;Cr$ 1.000;Cr$ 1.000;Brasil. Ministerio da Fazenda. Divisao de Imposto de Renda. Relatorio das atividades do exercicio ano de 1964. Rio de Janeiro: Imprensa Nacional, 1964.;dir_1964;https://archive.org/download/relatatvfaz000000_3_000000impostrend1964/relatatvfaz000000_3_000000impostrend1964.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/relatorio_irpf_ano_1964.pdf;;71;Tabelas sem numero das paginas 71 e 77;irpf_historico_totais_consolidado;"irpf_dir_1964_faixas; irpf_dir_1964_totais";Relatorio 1964;"consta na Tabela 4; Brasil";"Ano-calendario inferido como 1963 pela regra usual de exercicio do IR; confirmar antes da emenda definitiva com a serie. A fonte de 1964 separa a informacao em duas tabelas: pagina 71 para renda/imposto e pagina 77 para contribuintes/dependentes. Todos os totais publicados fecham com as somas por faixa.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1964;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1965;15;Cr$;Cr$ 1.000;Cr$ 1.000;Brasil. Ministerio da Fazenda. Departamento do Imposto de Renda. Relatorio das atividades do ano de 1965, apresentado ao Excelentissimo Senhor Diretor-Geral da Fazenda Nacional pelo Diretor do Departamento do Imposto de Renda, Sr. Orlando Travancas. Rio de Janeiro: Departamento de Imprensa Nacional, 1969.;dir_1965;https://archive.org/download/depeguanaminfaz0000_2_0000relatrenda196569/depeguanaminfaz0000_2_0000relatrenda196569.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/relatorio_irpf_ano_1965_publicado_1969.pdf;57;53;Quadro IV;irpf_historico_totais_consolidado;"irpf_dir_1965_faixas; irpf_dir_1965_totais";Boletim Estatistico n. 23;"consta na Tabela 4; Brasil";"Ano-calendario inferido como 1964 pela regra usual de exercicio do IR; confirmar antes da emenda definitiva com a serie. Os totais de coluna fecham com a linha TOTAL. Em duas faixas, a soma das subcategorias de contribuintes difere do total da propria faixa: F03 tem diferenca +100 e F07 tem diferenca -100; no agregado, as diferencas se cancelam.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1965;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1966;13;NCr$;NCr$ 1.000;NCr$ 1,00;Brasil. Ministerio da Fazenda. Departamento do Imposto de Renda. Boletim Estatistico, n. 28. [S.l.]: Ministerio da Fazenda, 1968.;boletim_estatistico_28_1968;;;;;outputs/fontes-pedro-souza-irpf/boletim_estatistico_n28_1968.pdf;77;36;Tabela sem numero;irpf_historico_totais_consolidado;"irpf_boletim_estatistico_28_1968_faixas; irpf_boletim_estatistico_28_1968_totais";Boletim Estatistico n. 28;"consta na Tabela 4; Brasil";Ano-calendario inferido como 1965 pela regra usual de exercicio do IR. A tabela do Boletim Estatistico n. 28 traz exercicio 1966, Brasil, por classes de renda liquida. Os totais de renda, imposto, desconto e contribuintes por categoria fecham exatamente com a linha TOTAL. O total geral de dependentes e legivel (789.949), mas os valores por faixa nao foram transcritos porque a coluna esta parcialmente cortada no limite direito do scan.;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1966;1;1;temos somente serie regional (Guanabara) no banco;Guanabara;serie historica regional/local;renda liquida;"RLIQ; imposto; pessoas";1967;13;NCr$;NCr$ 1.000;NCr$ 1.000;Brasil. Ministerio da Fazenda. Departamento do Imposto de Renda. Boletim Estatistico, n. 32. [S.l.]: Ministerio da Fazenda, agosto 1968.;boletim_estatistico_32_1968;;;;;outputs/fontes-pedro-souza-irpf/boletim_estatistico_n32_1968.pdf;61;29;Tabela sem numero;irpf_historico_totais_consolidado;"irpf_boletim_estatistico_32_1968_faixas; irpf_boletim_estatistico_32_1968_totais";Boletim Estatistico n. 32;"consta na Tabela 4; SP e GB";"nosso dado e regional/local, nao Brasil | Boletim n. 32 localizado cobre Guanabara; Pedro cita SP e GB";"ok como serie regional da Guanabara; nao usar como Brasil; transcrever Sao Paulo se quisermos completar SP/GB"
1967;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1968;13;NCr$;NCr$ 1.000;NCr$ 1,00;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Centro de Informacoes Economico-Fiscais (CIEF). Imposto sobre a renda e proventos de qualquer natureza, 1968. Rio de Janeiro: Imprensa Nacional, 1968.;receita_cief_1968;https://archive.org/download/depeguanaminfaz0000_2_0000Impsobreren1968/depeguanaminfaz0000_2_0000Impsobreren1968.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/imposto_renda_proventos_1968.pdf;121;48;Quadro 2.1.1.6;irpf_historico_totais_consolidado;"irpf_receita_cief_1968_faixas; irpf_receita_cief_1968_totais";IR e proventos (DIR 1968);"consta na Tabela 4; Brasil";A soma dos descontos na fonte nas faixas e 221.839, mas o total publicado e 221.399.;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1968;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1969;18;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1970. Brasilia: Ministerio da Fazenda, 1970.;aef_1970;https://archive.org/download/anuareco1970minfaz/anuareco1970minfaz.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1970minfaz.pdf;120;114;"6.3.49; 6.3.50";irpf_historico_totais_consolidado;"irpf_aef_1970_faixas; irpf_aef_1970_totais";AEF 1970-1980;"consta na Tabela 4; Brasil";No Quadro 6.3.50, a soma dos contribuintes casados nas faixas e 3.081.747, mas o total publicado e 3.081.742. A diferenca de -5 foi preservada nas colunas de validacao. A inconsistencia interna aparece na classe 37.500 a 50.000: total da classe 14.161, mas subcategorias somam 14.166.;"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1969;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1970;15;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1971. Brasilia: Ministerio da Fazenda, 1971.;aef_1971;https://archive.org/download/anuareco1971minfaz/anuareco1971minfaz.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1971minfaz.pdf;168;178;"8.2.2.36; 8.2.2.38";irpf_historico_totais_consolidado;"irpf_aef_1971_faixas; irpf_aef_1971_totais";AEF 1970-1980;"consta na Tabela 4; Brasil";"No Quadro 8.2.2.38, a coluna 'com imposto liquido a restituir' soma 418.577 nas faixas, mas o total publicado e 418.877; a coluna 'com declaracao fora do prazo' soma 186.454 nas faixas, mas o total publicado e 188.454; e a coluna de dependentes soma 16.959.098 nas faixas, mas o total publicado e 18.959.098. As diferencas foram preservadas nas colunas de validacao.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1970;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1971;8;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Centro de Informacoes Economico-Fiscais. Anuario Economico-Fiscal 1972. Brasilia: Centro de Informacoes Economico-Fiscais, 1972.;aef_1972;https://archive.org/download/anuareco1972minfaz/anuareco1972minfaz.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1972minfaz.pdf;145;141;8.2.1.54;irpf_historico_totais_consolidado;"irpf_aef_1972_faixas; irpf_aef_1972_totais";AEF 1970-1980;"consta na Tabela 4; Brasil";"O Quadro 8.2.1.54 separa uma classe de renda liquida negativa. Para manter comparabilidade com o padrao anterior de primeira faixa 'Ate X', a tabela principal agrega os declarantes da classe negativa com os declarantes de renda liquida de zero a Cr$ 5.040 na faixa 'Ate 5.040'. O valor de renda liquida usado nessa faixa e o total positivo da classe de zero a 5.040; a quantidade e o valor publicado da classe negativa foram preservados em colunas proprias e na tabela de origem.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1971;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1972;8;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1973. Brasilia: Ministerio da Fazenda, 1975.;aef_1973;https://archive.org/download/anuareco1973minfaz/anuareco1973minfaz.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1973minfaz.pdf;202;200;8.2.1.54;irpf_historico_totais_consolidado;"irpf_aef_1973_faixas; irpf_aef_1973_totais";AEF 1970-1980;"consta na Tabela 4; Brasil";"O Quadro 8.2.1.54 separa uma classe de renda liquida negativa. Para manter comparabilidade com o ano anterior e com o padrao historico de primeira faixa 'Ate X', a tabela principal agrega os declarantes da classe negativa com os declarantes de renda liquida de zero a Cr$ 6.048 na faixa 'Ate 6.048'. O valor de renda liquida usado nessa faixa e o total positivo da classe de zero a 6.048; a quantidade e o valor publicado da classe negativa foram preservados em colunas proprias e na tabela de origem.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1972;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1973;8;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1974. Brasilia: Ministerio da Fazenda, 1974.;aef_1974;https://archive.org/download/anuareco1974minfaz/anuareco1974minfaz.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1974minfaz.pdf;"220; 221";"218; 219";8.2.1.54;irpf_historico_totais_consolidado;"irpf_aef_1974_faixas; irpf_aef_1974_totais";AEF 1970-1980;"consta na Tabela 4; Brasil";"O Quadro 8.2.1.54 separa uma classe de renda liquida negativa. Para manter comparabilidade com os AEF 1972 e 1973 e com o padrao historico de primeira faixa 'Ate X', a tabela principal agrega os declarantes da classe negativa com os declarantes de renda liquida de zero a Cr$ 7.600 na faixa 'Ate 7.600'. O valor de renda liquida usado nessa faixa e o total positivo da classe de zero a 7.600; a quantidade e o valor publicado da classe negativa foram preservados em colunas proprias e na tabela de origem.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1973;1;1;"temos serie paralela por rendimento bruto; nao entra limpa no consolidado RLIQ";Brasil;serie paralela/candidata;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1974;15;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1975. Brasilia: Ministerio da Fazenda, 1975.;;https://archive.org/details/anuareco1975minfaz;Internet Archive;https://archive.org/download/anuareco1975minfaz/anuareco1975minfaz.pdf;https://archive.org/details/anuareco1975minfaz;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1975minfaz.pdf;148;157;8.2.1.26;irpf_aef_1975_rendimento_bruto_totais;"irpf_aef_1975_rendimento_bruto_faixas; irpf_aef_1975_rendimento_bruto_totais";AEF 1970-1980;"consta na Tabela 4; Brasil";fonte localizada classifica por rendimento bruto total, nao por renda liquida | O AEF 1975 foi localizado para o ano-base 1973, mas o Quadro 8.2.1.26 classifica os declarantes por classes de rendimento bruto, nao por classes de renda liquida como os quadros 8.2.1.54 dos AEF 1972-1974. Por isso, esta extracao foi preservada como serie paralela/candidata e nao deve ser misturada diretamente com a serie nacional comparavel de renda liquida por faixa.;decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
1974;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1975;8;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1976. Brasilia: Ministerio da Fazenda, 1976.;aef_1976;https://archive.org/download/anuareco1976minfaz/anuareco1976minfaz.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1976minfaz.pdf;"219; 220";"216; 217";8.2.1.68;irpf_historico_totais_consolidado;"irpf_aef_1976_faixas; irpf_aef_1976_totais";AEF 1970-1980;"consta na Tabela 4; Brasil";"O Quadro 8.2.1.68 separa uma classe de renda liquida negativa. Para manter comparabilidade com os AEF 1972-1974 e com o padrao historico de primeira faixa 'Ate X', a tabela principal agrega os declarantes da classe negativa com os declarantes de renda liquida de zero a Cr$ 13.900 na faixa 'Ate 13.900'. O valor de renda liquida usado nessa faixa e o total positivo da classe de zero a 13.900; a quantidade e o valor publicado da classe negativa foram preservados em colunas proprias e na tabela de origem.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1975;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1976;10;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1977. Brasilia: Ministerio da Fazenda, 1977.;aef_1977;https://archive.org/download/anuareco1977minfaz/anuareco1977minfaz.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1977minfaz.pdf;"298; 299; 302; 303";"295; 296; 299; 300";"8.2.1.125; 8.2.1.127";irpf_historico_totais_consolidado;"irpf_aef_1977_faixas; irpf_aef_1977_totais";AEF 1970-1980;"consta na Tabela 4; Brasil";"O AEF 1977 passa a separar declaracoes apresentadas no Modelo Completo (MCT) e no Modelo Simplificado (MSO). Como os quadros 8.2.1.125 e 8.2.1.127 usam as mesmas classes de renda liquida, a tabela principal soma MCT e MSO por faixa. A tabela de origem preserva os valores de cada modelo. Os quadros 8.2.1.125 e 8.2.1.127 separam uma classe de renda liquida negativa. Para manter comparabilidade com os AEF 1972-1974 e 1976, a tabela principal agrega os declarantes da classe negativa com os declarantes de renda liquida de zero a Cr$ 26.000 na faixa 'Ate 26.000'. O valor de renda liquida usado nessa faixa e o total positivo da classe de zero a 26.000; a quantidade e o valor publicado da classe negativa foram preservados em colunas proprias e na tabela de origem.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1976;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1977;10;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1978. Brasilia: Ministerio da Fazenda, 1978.;aef_1978;https://archive.org/download/anuareco1978minfaz/anuareco1978minfaz.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1978minfaz.pdf;"306; 307; 310; 311";"315; 316; 319; 320";"8.2.125; 8.2.127";irpf_historico_totais_consolidado;"irpf_aef_1978_faixas; irpf_aef_1978_totais";AEF 1970-1980;"consta na Tabela 4; Brasil";"O AEF 1978 separa declaracoes apresentadas no Modelo Completo (MCT) e no Modelo Simplificado (MSO). Como os quadros 8.2.125 e 8.2.127 usam as mesmas classes de renda liquida, a tabela principal soma MCT e MSO por faixa. A tabela de origem preserva os valores de cada modelo. Os quadros 8.2.125 e 8.2.127 separam uma classe de renda liquida negativa. Para manter comparabilidade com os AEF 1972-1974, 1976 e 1977, a tabela principal agrega os declarantes da classe negativa com os declarantes de renda liquida de zero a Cr$ 35.100 na faixa 'Ate 35.100'. O valor de renda liquida usado nessa faixa e o total positivo da classe de zero a 35.100; a quantidade e o valor publicado da classe negativa foram preservados em colunas proprias e na tabela de origem.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1977;1;1;temos consolidado nacional por renda liquida;Brasil;serie historica nacional principal;renda liquida;"RLIQ; renda bruta quando disponivel; abatimentos; imposto; pessoas";1978;10;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1979. Brasilia: Ministerio da Fazenda, 1979.;aef_1979;https://archive.org/download/anuareco1979minfaz/anuareco1979minfaz.pdf;Internet Archive;;;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1979minfaz.pdf;"598; 599; 604; 605";"607; 608; 613; 614";"131; 134";irpf_historico_totais_consolidado;"irpf_aef_1979_faixas; irpf_aef_1979_totais";AEF 1970-1980;"consta na Tabela 4; Brasil";"O AEF 1979 separa declaracoes apresentadas no Modelo Completo (MCT) e no Modelo Simplificado (MSO). Como os quadros 131 e 134 usam as mesmas classes de renda liquida, a tabela principal soma MCT e MSO por faixa. A tabela de origem preserva os valores de cada modelo. Os quadros 131 e 134 separam uma classe de renda liquida negativa. Para manter comparabilidade com os AEF 1972-1974 e 1976-1978, a tabela principal agrega os declarantes da classe negativa com os declarantes de renda liquida de zero a Cr$ 47.300 na faixa 'Ate 47.300'. O valor de renda liquida usado nessa faixa e o total positivo da classe de zero a 47.300; a quantidade e o valor publicado da classe negativa foram preservados em colunas proprias e na tabela de origem. No quadro 131, o ultimo digito do total monetario MCT aparece parcialmente cortado no canto direito do scan. O valor usado (Cr$ 161.774.555 mil) e a soma das classes positivas transcritas.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1978;1;1;"temos serie paralela: faixa por rendimento bruto; RLIQ so em blocos";Brasil;serie paralela por rendimento bruto;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1979;14;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1980. Brasilia: Ministerio da Fazenda, 1980.;;https://archive.org/details/anuareco1980minfaz;Internet Archive;https://archive.org/download/anuareco1980minfaz/anuareco1980minfaz.pdf;https://archive.org/details/anuareco1980minfaz;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1980minfaz.pdf;376;383;1;irpf_aef_1980_rendimento_bruto_totais;"irpf_aef_1980_renda_liquida_por_rendimento_bruto; irpf_aef_1980_renda_liquida_por_rendimento_bruto_totais; irpf_aef_1980_rendimento_bruto_faixas; irpf_aef_1980_rendimento_bruto_totais";AEF 1970-1980;"consta na Tabela 4; Brasil";"tabelas classificam por rendimento bruto; renda liquida aparece so em blocos | O AEF 1980 cobre ano-base 1978/exercicio 1979, mas nao traz a matriz nacional detalhada de renda liquida por classes de renda liquida que foi usada nos AEF 1976-1979. As tabelas 1 e 2 classificam os declarantes por classes de rendimento bruto total; a tabela 2 decompoe a renda liquida calculada apenas em tres blocos: negativa, de zero a Cr$ 65.000 e acima de Cr$ 65.000. Por isso, a extracao foi preservada como serie paralela e nao deve ser misturada diretamente com a serie nacional comparavel. Os agregados monetarios sao publicados em Cr$ 1.000. Em algumas colunas, a soma das faixas difere do total publicado por poucos milhares de cruzeiros, consistente com arredondamento/publicacao do total.";decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
1979;1;1;"temos serie paralela: faixa por rendimento bruto; RLIQ so em blocos";Brasil;serie paralela por rendimento bruto;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1980;14;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1981. Brasilia: Ministerio da Fazenda, 1981.;;https://archive.org/details/anuareco1981minfaz;Internet Archive;https://archive.org/download/anuareco1981minfaz/anuareco1981minfaz.pdf;https://archive.org/details/anuareco1981minfaz;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1981minfaz.pdf;438;449;1;irpf_aef_1981_rendimento_bruto_totais;"irpf_aef_1981_renda_liquida_por_rendimento_bruto; irpf_aef_1981_renda_liquida_por_rendimento_bruto_totais; irpf_aef_1981_rendimento_bruto_faixas; irpf_aef_1981_rendimento_bruto_totais";IRPF 1980-1989;"consta na Tabela 4; Brasil";"tabelas classificam por rendimento bruto; renda liquida aparece so em blocos | O AEF 1981 cobre ano-base 1979/exercicio 1980, mas nao traz a matriz nacional detalhada de renda liquida por classes de renda liquida que foi usada nos AEF 1976-1979. As tabelas 1 e 2 classificam os declarantes por classes de rendimento bruto total; a tabela 2 decompoe a renda liquida calculada apenas em tres blocos: negativa, de zero a Cr$ 94.200 e acima de Cr$ 94.200. Por isso, a extracao foi preservada como serie paralela e nao deve ser misturada diretamente com a serie nacional comparavel. Os agregados monetarios sao publicados em Cr$ 1.000. Em algumas colunas, a soma das faixas difere do total publicado por poucos milhares de cruzeiros, consistente com arredondamento/publicacao do total.";decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
1980;1;1;"temos serie paralela: faixa por rendimento bruto; RLIQ so em blocos";Brasil;serie paralela por rendimento bruto;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1981;14;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Anuario Economico-Fiscal 1982. Brasilia: Ministerio da Fazenda, 1982.;;https://archive.org/details/anuareco1982minfaz;Internet Archive;https://archive.org/download/anuareco1982minfaz/anuareco1982minfaz.pdf;https://archive.org/details/anuareco1982minfaz;outputs/fontes-pedro-souza-irpf/aef_scan/pdf/anuareco1982minfaz.pdf;259;270;1;irpf_aef_1982_rendimento_bruto_totais;"irpf_aef_1982_renda_liquida_por_rendimento_bruto; irpf_aef_1982_renda_liquida_por_rendimento_bruto_totais; irpf_aef_1982_rendimento_bruto_faixas; irpf_aef_1982_rendimento_bruto_totais";IRPF 1980-1989;"consta na Tabela 4; Brasil";"tabelas classificam por rendimento bruto; renda liquida aparece so em blocos | O AEF 1982 cobre ano-base 1980/exercicio 1981, mas nao traz a matriz nacional detalhada de renda liquida por classes de renda liquida que foi usada nos AEF 1976-1979. As tabelas 1 e 2 classificam os declarantes por classes de rendimento bruto total; a tabela 2 decompoe a renda liquida calculada apenas em tres blocos: negativa, de zero a Cr$ 146.000 e acima de Cr$ 146.000. Por isso, a extracao foi preservada como serie paralela e nao deve ser misturada diretamente com a serie nacional comparavel. No Quadro 1 do AEF 1982 aparece a coluna desconto padrao. Diferentemente dos AEF 1980 e 1981, esse quadro nao traz a coluna de rendimentos nao tributaveis. Os agregados monetarios sao publicados em Cr$ 1.000. Em algumas colunas, a soma das faixas difere do total publicado por poucos milhares de cruzeiros, consistente com arredondamento/publicacao do total.";decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
1981;1;1;"temos serie paralela: faixa por rendimento bruto; RLIQ so em blocos";Brasil;serie paralela por rendimento bruto;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1982;14;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Coordenacao do Sistema de Informacoes Economico-Fiscais. Imposto de Renda Pessoa Fisica 1982. Brasilia: Ministerio da Fazenda, 1982.;;https://archive.org/details/impostoderendape41982mini;Internet Archive;https://archive.org/download/impostoderendape41982mini/impostoderendape41982mini.pdf;https://archive.org/details/impostoderendape41982mini;outputs/fontes-pedro-souza-irpf/irpf_scan/pdf/impostoderendape41982mini.pdf;25;21;1;irpf_cief_1982_rendimento_bruto_totais;"irpf_cief_1982_renda_liquida_por_rendimento_bruto; irpf_cief_1982_renda_liquida_por_rendimento_bruto_totais; irpf_cief_1982_rendimento_bruto_faixas; irpf_cief_1982_rendimento_bruto_totais";IRPF 1980-1989;"consta na Tabela 4; Brasil";"tabelas classificam por rendimento bruto; renda liquida aparece so em blocos | A publicacao IRPF 1982 cobre ano-base 1981/exercicio 1982. Ela traz quadros nacionais no fechamento das tabelas por Unidades Federadas e Regioes Fiscais, mas o Quadro 2 continua decompondo a renda liquida calculada apenas em tres blocos: negativa, de zero a Cr$ 278.000 e acima de Cr$ 278.000. Por isso, a extracao foi preservada como serie paralela e nao deve ser misturada diretamente com a serie nacional comparavel por classes finas de renda liquida. O item Anuario Economico-Fiscal 1983 foi localizado no Internet Archive somente com metadados, sem PDF/OCR publico. Para o ano-base 1981, foi usada a publicacao CIEF Imposto de Renda Pessoa Fisica 1982. Os valores nacionais foram conferidos nas imagens das paginas PDF 25 e 34. Algumas casas estavam borradas no scan; nesses casos, o valor foi resolvido por fechamento contra o total publicado e marcado em observacao_linha.";decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
